difficulty,category,question,option1,option2,option3,option4,correctIndex,questionChinese,optionChinese1,optionChinese2,optionChinese3,optionChinese4
medium,biology,What is the largest internal organ in the human body?,Heart,Liver,Lungs,Stomach,1,人体最大的内脏器官是什么？,心脏,肝脏,肺,胃
medium,biology,Which organ pumps blood throughout the body?,Brain,Lungs,Heart,Kidney,2,哪个器官将血液泵送到全身？,大脑,肺,心脏,肾脏
medium,biology,How many chambers does the human heart have?,2,3,4,6,2,人类心脏有几个腔室？,2,3,4,6
medium,biology,Which organ filters waste from the blood?,Liver,Kidney,Heart,Stomach,1,哪个器官过滤血液中的废物？,肝脏,肾脏,心脏,胃
medium,biology,What is the main function of the lungs?,Digestion,Respiration,Circulation,Excretion,1,肺的主要功能是什么？,消化,呼吸,循环,排泄
medium,biology,Which part of the brain controls balance?,Cerebrum,Cerebellum,Brainstem,Thalamus,1,大脑的哪一部分控制平衡？,大脑,小脑,脑干,丘脑
medium,biology,What is the longest bone in the human body?,Femur,Tibia,Humerus,Radius,0,人体最长的骨头是什么？,股骨,胫骨,肱骨,桡骨
medium,biology,Which organ produces insulin?,Liver,Pancreas,Kidney,Stomach,1,哪个器官产生胰岛素？,肝脏,胰腺,肾脏,胃
medium,biology,What carries oxygen in the blood?,White Blood Cells,Red Blood Cells,Platelets,Plasma,1,血液中什么携带氧气？,白细胞,红细胞,血小板,血浆
medium,biology,Where does digestion begin?,Stomach,Small Intestine,Mouth,Esophagus,2,消化从哪里开始？,胃,小肠,嘴,食道
medium,biology,What connects muscle to bone?,Ligament,Tendon,Cartilage,Joint,1,什么连接肌肉和骨头？,韧带,肌腱,软骨,关节
medium,biology,What connects bone to bone?,Ligament,Tendon,Muscle,Skin,0,什么连接骨头和骨头？,韧带,肌腱,肌肉,皮肤
medium,biology,Which part of the eye controls the amount of light entering?,Lens,Retina,Iris,Cornea,2,眼睛的哪一部分控制进入的光线量？,晶状体,视网膜,虹膜,角膜
medium,biology,How many teeth does an adult human typically have?,28,30,32,34,2,成年人通常有几颗牙齿？,28,30,32,34
medium,biology,What is the function of white blood cells?,Carry Oxygen,Clot Blood,Fight Infection,Transport Nutrients,2,白细胞的功能是什么？,携带氧气,凝血,抵抗感染,输送营养
medium,biology,Which vitamin is good for eyesight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,0,哪种维生素对视力有益？,维生素A,维生素B,维生素C,维生素D
medium,biology,Where is bile stored?,Liver,Gallbladder,Pancreas,Stomach,1,胆汁储存在哪里？,肝脏,胆囊,胰腺,胃
medium,biology,What is the main function of skin?,Protection,Digestion,Movement,Thinking,0,皮肤的主要功能是什么？,保护,消化,运动,思考
medium,biology,Which specialized tissue contracts to cause movement?,Nervous,Epithelial,Muscle,Connective,2,哪种特殊组织收缩会引起运动？,神经,上皮,肌肉,结缔
medium,biology,What is the largest organ of the integumentary system?,Liver,Skin,Heart,Brain,1,外皮系统最大的器官是什么？,肝脏,皮肤,心脏,大脑
medium,biology,Which component of blood helps in clotting?,Red Blood Cells,White Blood Cells,Plasma,Platelets,3,血液中哪个成分有助于凝血？,红细胞,白细胞,血浆,血小板
medium,biology,What tube carries food to the stomach?,Trachea,Esophagus,Artery,Vein,1,什么管子把食物输送到胃里？,气管,食道,动脉,静脉
medium,biology,Where does most nutrient absorption occur?,Stomach,Large Intestine,Small Intestine,Mouth,2,大部分营养吸收发生在哪里？,胃,大肠,小肠,嘴
medium,biology,What system controls the body with hormones?,Nervous,Endocrine,Digestive,Skeletal,1,什么系统用激素控制身体？,神经,内分泌,消化,骨骼
medium,biology,Which organ is primarily responsible for detoxifying chemicals?,Kidney,Liver,Lungs,Skin,1,哪个器官主要负责解毒化学物质？,肾脏,肝脏,肺,皮肤
medium,biology,What is the liquid part of blood called?,Water,Plasma,Lymph,Serum,1,血液的液体部分叫什么？,水,血浆,淋巴,血清
medium,biology,How many pairs of ribs do humans have?,10,11,12,13,2,人类有几对肋骨？,10,11,12,13
medium,biology,Which blood vessel carries blood away from the heart?,Vein,Artery,Capillary,Valve,1,哪种血管将血液带离心脏？,静脉,动脉,毛细血管,瓣膜
medium,biology,Which blood vessel carries blood back to the heart?,Vein,Artery,Capillary,Aorta,0,哪种血管将血液带回心脏？,静脉,动脉,毛细血管,主动脉
medium,biology,What is the main gas we exhale?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,2,我们呼出的主要气体是什么？,氧气,氮气,二氧化碳,氢气
medium,biology,What prevents food from entering the windpipe?,Tongue,Epiglottis,Tonsils,Uvula,1,什么防止食物进入气管？,舌头,会厌,扁桃体,悬雍垂
medium,biology,Which organ destroys old red blood cells?,Spleen,Heart,Lung,Brain,0,哪个器官破坏旧的红细胞？,脾脏,心脏,肺,大脑
medium,biology,What is the outer layer of skin called?,Dermis,Epidermis,Hypodermis,Cortex,1,皮肤的外层叫什么？,真皮,表皮,皮下组织,皮层
medium,biology,Which part of the ear contains the eardrum?,Outer Ear,Middle Ear,Inner Ear,Canal,1,耳朵的哪一部分包含耳膜？,外耳,中耳,内耳,耳道
medium,biology,How many lobes does the human brain have?,2,4,6,8,1,人脑有几个叶？,2,4,6,8
medium,biology,What is the smallest bone in the body?,Stapes,Incus,Malleus,Femur,0,人体最小的骨头是什么？,镫骨,砧骨,锤骨,股骨
medium,biology,Which system defends the body against infection?,Digestive,Immune,Skeletal,Nervous,1,哪个系统防御身体免受感染？,消化,免疫,骨骼,神经
medium,biology,What does the stomach produce to digest food?,Acid,Bile,Insulin,Saliva,0,胃产生什么来消化食物？,酸,胆汁,胰岛素,唾液
medium,biology,Which joint type allows the most movement?,Hinge,Pivot,Ball and Socket,Gliding,2,哪种关节类型允许最大的运动？,铰链,枢轴,球窝,滑动
medium,biology,What is the colored part of the eye?,Pupil,Sclera,Iris,Cornea,2,眼睛的有色部分是什么？,瞳孔,巩膜,虹膜,角膜
medium,biology,What controls involuntary actions like heartbeat?,Cerebrum,Medulla Oblongata,Cerebellum,Pons,1,什么控制像心跳这样的不随意动作？,大脑,延髓,小脑,脑桥
medium,biology,Which sense is linked to the olfactory nerve?,Sight,Hearing,Smell,Taste,2,哪种感觉与嗅神经有关？,视觉,听觉,嗅觉,味觉
medium,biology,What is the hard substance covering teeth?,Dentin,Pulp,Enamel,Cementum,2,覆盖牙齿的坚硬物质是什么？,牙本质,牙髓,牙釉质,牙骨质
medium,biology,Which organ removes excess water from the body?,Liver,Heart,Kidney,Spleen,2,哪个器官从体内排出多余的水分？,肝脏,心脏,肾脏,脾脏
medium,biology,What type of blood cell produces antibodies?,Red Blood Cell,Platelet,B-Cell (White BC),Stem Cell,2,哪种血细胞产生抗体？,红细胞,血小板,B细胞（白细胞）,干细胞
medium,biology,Where are blood cells made?,Heart,Liver,Bone Marrow,Kidney,2,血细胞在哪里制造？,心脏,肝脏,骨髓,肾脏
medium,biology,What is the master gland of the endocrine system?,Thyroid,Adrenal,Pituitary,Pineal,2,内分泌系统的主腺是什么？,甲状腺,肾上腺,垂体,松果体
medium,biology,Which acid is found in the stomach?,Sulfuric,Hydrochloric,Acetic,Citric,1,胃里发现哪种酸？,硫酸,盐酸,醋酸,柠檬酸
medium,biology,What is the space between two neurons called?,Axon,Dendrite,Synapse,Soma,2,两个神经元之间的空间叫什么？,轴突,树突,突触,胞体
medium,biology,Which part of the cell makes proteins?,Nucleus,Ribosome,Mitochondria,Lysosome,1,细胞的哪一部分制造蛋白质？,细胞核,核糖体,线粒体,溶酶体
medium,chemistry,Which element has the symbol O?,Gold,Osmium,Oxygen,Silver,2,由于符号O的元素是什么？,金,锇,氧,银
medium,chemistry,Which element has the symbol H?,Helium,Hydrogen,Hafnium,Mercury,1,由于符号H的元素是什么？,氦,氢,铪,汞
medium,chemistry,Which element has the symbol C?,Calcium,Carbon,Cobalt,Copper,1,由于符号C的元素是什么？,钙,碳,钴,铜
medium,chemistry,Which element has the symbol N?,Nickel,Neon,Nitrogen,Niobium,2,由于符号N的元素是什么？,镍,氖,氮,铌
medium,chemistry,Which element has the symbol Au?,Silver,Gold,Aluminum,Argon,1,由于符号Au的元素是什么？,银,金,铝,氩
medium,chemistry,Which element has the symbol Ag?,Gold,Silver,Argon,Arsenic,1,由于符号Ag的元素是什么？,金,银,氩,砷
