difficulty,category,question,option1,option2,option3,option4,correctIndex,questionChinese,optionChinese1,optionChinese2,optionChinese3,optionChinese4
hard,biology,What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Golgi Apparatus,1,细胞的动力工厂是什么？,细胞核,线粒体,核糖体,高尔基体
hard,biology,What molecule carries genetic information?,RNA,DNA,Protein,Lipid,1,什么分子携带遗传信息？,RNA,DNA,蛋白质,脂质
hard,biology,What is the process of cell division for growth?,Meiosis,Mitosis,Fission,Budding,1,用于生长的细胞分裂过程是什么？,减数分裂,有丝分裂,裂变,出芽
hard,biology,Which organelle synthesizes proteins?,Lysosome,Ribosome,Vacuole,Chloroplast,1,哪个细胞器合成蛋白质？,溶酶体,核糖体,液泡,叶绿体
hard,biology,What is the basic unit of muscle?,Neuron,Sarcomere,Osteon,Nephron,1,肌肉的基本单位是什么？,神经元,肌节,骨单位,肾单位
hard,biology,Which blood type is the universal donor?,A+,B-,AB+,O-,3,哪种血型是万能供血者？,A+,B-,AB+,O-
hard,biology,Which blood type is the universal recipient?,A-,B+,AB+,O+,2,哪种血型是万能受血者？,A-,B+,AB+,O+
hard,biology,What are the building blocks of proteins?,Fatty Acids,Amino Acids,Sugars,Nucleotides,1,蛋白质的组成部分是什么？,脂肪酸,氨基酸,糖,核苷酸
hard,biology,Which hormone regulates blood sugar levels?,Adrenaline,Insulin,Thyroxine,Cortisol,1,哪种激素调节血糖水平？,肾上腺素,胰岛素,甲状腺素,皮质醇
hard,biology,What is the study of heredity called?,Evolution,Genetics,Ecology,Anatomy,1,遗传的研究叫什么？,进化,遗传学,生态学,解剖学
hard,biology,What structures inside the nucleus contain DNA?,Ribosomes,Chromosomes,Centrioles,Vesicles,1,细胞核内包含DNA的结构是什么？,核糖体,染色体,中心粒,囊泡
hard,biology,Which base pairs with Adenine in DNA?,Cytosine,Guanine,Thymine,Uracil,2,在DNA中哪个碱基与腺嘌呤配对？,胞嘧啶,鸟嘌呤,胸腺嘧啶,尿嘧啶
hard,biology,Which base is found in RNA but not DNA?,Thymine,Uracil,Cytosine,Guanine,1,哪种碱基存在于RNA中但不存在于DNA中？,胸腺嘧啶,尿嘧啶,胞嘧啶,鸟嘌呤
hard,biology,What is the fluid mosaic model describing?,DNA Structure,Cell Membrane,Cell Wall,Nucleus,1,流动镶嵌模型描述的是什么？,DNA结构,细胞膜,细胞壁,细胞核
hard,biology,Which organelle contains digestive enzymes?,Ribosome,Lysosome,Mitochondria,Golgi,1,哪个细胞器包含消化酶？,核糖体,溶酶体,线粒体,高尔基体
hard,biology,What is the main function of the large intestine?,Digestion,Water Absorption,Protein Synthesis,Bile Production,1,大肠的主要功能是什么？,消化,水分吸收,蛋白质合成,胆汁产生
hard,biology,Where does fertilization typically occur?,Uterus,Ovary,Fallopian Tube,Cervix,2,受精通常发生在哪里？,子宫,卵巢,输卵管,宫颈
hard,biology,Which part of the brain controls breathing?,Cerebrum,Cerebellum,Medulla Oblongata,Hypothalamus,2,大脑的哪一部分控制呼吸？,大脑,小脑,延髓,下丘脑
hard,biology,What is the gap between nerve cells called?,Axon,Synapse,Dendrite,Myelin,1,神经细胞之间的间隙叫什么？,轴突,突触,树突,髓鞘
hard,biology,Which cells fight infection?,Erythrocytes,Leukocytes,Thrombocytes,Adipocytes,1,哪些细胞抵抗感染？,红细胞,白细胞,血小板,脂肪细胞
hard,biology,What is the functional unit of the kidney?,Neuron,Nephron,Alveoli,Villi,1,肾脏的功能单位是什么？,神经元,肾单位,肺泡,绒毛
hard,biology,Where are gas exchanges made in lungs?,Bronchi,Trachea,Alveoli,Larynx,2,肺部在哪里进行气体交换？,支气管,气管,肺泡,喉
hard,biology,What enzyme breaks down starch?,Pepsin,Amylase,Lipase,Trypsin,1,什么酶分解淀粉？,胃蛋白酶,淀粉酶,脂肪酶,胰蛋白酶
hard,biology,What is the largest artery in the body?,Carotid,Femoral,Aorta,Jugular,2,人体最大的动脉是什么？,颈动脉,股动脉,主动脉,颈静脉
