difficulty,category,question,option1,option2,option3,option4,correctIndex,questionChinese,optionChinese1,optionChinese2,optionChinese3,optionChinese4
easy,biology,Which animal is known as the King of the Jungle?,Tiger,Lion,Elephant,Bear,1,哪种动物被称为丛林之王？,老虎,狮子,大象,熊
easy,biology,What is the largest mammal in the world?,African Elephant,Blue Whale,Giraffe,Hippo,1,世界上最大的哺乳动物是什么？,非洲象,蓝鲸,长颈鹿,河马
easy,biology,Which animal has a long trunk?,Elephant,Monkey,Snake,Lion,0,哪种动物有长鼻子？,大象,猴子,蛇,狮子
easy,biology,Which bird cannot fly?,Eagle,Sparrow,Penguin,Parrot,2,哪种鸟不会飞？,老鹰,麻雀,企鹅,鹦鹉
easy,biology,What food do pandas mainly eat?,Bamboo,Meat,Fish,Fruit,0,熊猫主要吃什么食物？,竹子,肉,鱼,水果
easy,biology,How many legs does a spider have?,4,6,8,10,2,蜘蛛有几条腿？,4,6,8,10
easy,biology,Which animal produces wool?,Cow,Sheep,Horse,Pig,1,哪种动物产羊毛？,奶牛,绵羊,马,猪
easy,biology,Which animal hops and carries a baby in a pouch?,Kangaroo,Rabbit,Frog,Dog,0,哪种动物会跳跃并用育儿袋携带宝宝？,袋鼠,兔子,青蛙,狗
easy,biology,What is a baby dog called?,Kitten,Puppy,Calf,Cub,1,小狗叫什么？,小猫,小狗,小牛,幼兽
easy,biology,which animal moves very slowly and has a shell?,Turtle,Rabbit,Snake,Lizard,0,哪种动物爬得很慢通过有壳？,乌龟,兔子,蛇,蜥蜴
easy,biology,Which insect makes honey?,Ant,Butterfly,Bee,Mosquito,2,哪种昆虫制造蜂蜜？,蚂蚁,蝴蝶,蜜蜂,蚊子
easy,biology,What is a group of lions called?,Pack,Herd,Pride,Flock,2,一群狮子叫什么？,群,兽群,狮群,鸟群
easy,biology,Which animal has a long neck?,Elephant,Giraffe,Zebra,Lion,1,哪种动物有长脖子？,大象,长颈鹿,斑马,狮子
easy,biology,Which animal is famous for its black and white stripes?,Tiger,Leopard,Zebra,Panda,2,哪种动物以其黑白条纹而闻名？,老虎,豹子,斑马,熊猫
easy,biology,What does a caterpillar turn into?,Beetle,Butterfly,Fly,Spider,1,毛毛虫会变成什么？,甲虫,蝴蝶,苍蝇,蜘蛛
easy,biology,Which animal sleeps upside down?,Monkey,Bat,Owl,Cat,1,哪种动物倒着睡觉？,猴子,蝙蝠,猫头鹰,猫
easy,biology,Which bird is a symbol of peace?,Eagle,Dove,Crow,Owl,1,哪种鸟是和平的象征？,老鹰,鸽子,乌鸦,猫头鹰
easy,biology,What do bees collect from flowers?,Pollen,Water,Leaves,Seeds,0,蜜蜂从花朵中采集什么？,花粉,水,树叶,种子
easy,biology,Which animal is the fastest land animal?,Lion,Tiger,Cheetah,Horse,2,哪种动物是陆地上最快的动物？,狮子,老虎,猎豹,马
easy,biology,Which sea animal has 8 arms?,Shark,Whale,Octopus,Fish,2,哪种海洋动物有8条手臂？,鲨鱼,鲸鱼,章鱼,鱼
easy,biology,What is a baby cat called?,Puppy,Kitten,Cub,Calf,1,小猫叫什么？,小狗,小猫,幼兽,小牛
easy,biology,Which animal has a hump on its back?,Horse,Camel,Donkey,Cow,1,哪种动物背上有驼峰？,马,骆驼,驴,奶牛
easy,biology,What do cows drink?,Milk,Water,Juice,Tea,1,奶牛喝什么？,牛奶,水,果汁,茶
easy,biology,Which animal can change its color?,Frog,Chameleon,Lizard,Snake,1,哪种动物会变色？,青蛙,变色龙,蜥蜴,蛇
easy,biology,Which animal quacks?,Chicken,Duck,Cow,Dog,1,哪种动物会嘎嘎叫？,鸡,鸭子,奶牛,狗
easy,biology,Which animal has big ears and tusks?,Elephant,Hippo,Rhino,Lion,0,哪种动物有大耳朵和长牙？,大象,河马,犀牛,狮子
easy,biology,What is the national bird of the USA?,Bald Eagle,Sparrow,Robin,Hawk,0,美国的国鸟是什么？,白头海雕,麻雀,知更鸟,老鹰
easy,biology,Which fish is famous for swimming upstream to lay eggs?,Goldfish,Salmon,Shark,Tuna,1,哪种鱼以逆流而上去产卵而闻名？,金鱼,鲑鱼,鲨鱼,金枪鱼
easy,biology,Which animal is man's best friend?,Cat,Dog,Horse,Bird,1,哪种动物是人类最好的朋友？,猫,狗,马,鸟
easy,biology,Which animal gives us milk?,Pig,Chicken,Cow,Lizard,2,哪种动物给我们提供牛奶？,猪,鸡,奶牛,蜥蜴
